BURNUP,TF,TM,BOR,GROUP,ABSORPTION,CAPTURE,FISSION,NU-FISSION,TRANSPORT,OUT-SCATTER,DIFF(1/3TR),assembly
7,1019.3,557,400,2,0.0870344,0.039122,0.0479124,0.122797,0.933384,0.00172115,0.357123,1
8,1019.3,557,400,1,0.00971267,0.00765816,0.00205452,0.00539457,0.236977,0.0171968,1.40661,1
8,1019.3,557,400,2,0.0876467,0.0398737,0.047773,0.123042,0.934812,0.00172974,0.356578,1
9,1019.3,557,400,1,0.00980537,0.00777739,0.00202798,0.00533875,0.23696,0.0171518,1.40671,1
9,1019.3,557,400,2,0.0881557,0.0405694,0.0475863,0.123126,0.936097,0.00173651,0.356088,1
10,1019.3,557,400,1,0.00989337,0.00789118,0.00200219,0.00528425,0.236943,0.0171104,1.40681,1
10,1019.3,557,400,2,0.0885749,0.0412156,0.0473593,0.123071,0.937262,0.00174168,0.355646,1
11,1019.3,557,400,1,0.00997705,0.00799982,0.00197723,0.00523133,0.236925,0.0170722,1.40691,1
11,1019.3,557,400,2,0.088916,0.0418177,0.0470983,0.122898,0.93832,0.00174546,0.355245,1
12.5,1019.3,557,400,1,0.0100944,0.00815309,0.00194131,0.00515499,0.236897,0.0170207,1.40708,1
12.5,1019.3,557,400,2,0.0892979,0.0426455,0.0466524,0.122444,0.939726,0.00174889,0.354713,1
15,1019.3,557,400,1,0.0102723,0.00838704,0.00188522,0.00503523,0.236845,0.0169476,1.40739,1
15,1019.3,557,400,2,0.0896669,0.043861,0.0458059,0.121295,0.941686,0.00174996,0.353975,1
17.5,1019.3,557,400,1,0.0104347,0.00860302,0.0018317,0.00491957,0.236793,0.0168864,1.4077,1
17.5,1019.3,557,400,2,0.0897867,0.0449164,0.0448702,0.11978,0.943305,0.00174657,0.353368,1
20,1019.3,557,400,1,0.010583,0.00880184,0.00178113,0.00480914,0.236739,0.0168355,1.40802,1
20,1019.3,557,400,2,0.0897108,0.0458339,0.0438769,0.117998,0.944638,0.00173977,0.352869,1
22.5,1019.3,557,400,1,0.0107207,0.00898681,0.00173392,0.00470522,0.236683,0.0167919,1.40835,1
22.5,1019.3,557,400,2,0.0894926,0.0466373,0.0428553,0.116039,0.945743,0.00173054,0.352457,1
25,1019.3,557,400,1,0.0108501,0.00916002,0.00169012,0.0046081,0.236624,0.0167536,1.40871,1
25,1019.3,557,400,2,0.0891755,0.0473463,0.0418292,0.113979,0.946665,0.00171967,0.352113,1
27.5,1019.3,557,400,1,0.0109727,0.0093229,0.00164983,0.00451819,0.23656,0.016719,1.40908,1
27.5,1019.3,557,400,2,0.0887944,0.0479763,0.0408181,0.111879,0.947437,0.0017078,0.351826,1
30,1019.3,557,400,1,0.0110888,0.00947629,0.00161255,0.00443447,0.236493,0.0166876,1.40949,1
30,1019.3,557,400,2,0.0883778,0.0485401,0.0398377,0.109789,0.948083,0.00169547,0.351587,1
32.5,1019.3,557,400,1,0.0111984,0.00962031,0.00157806,0.00435654,0.23642,0.016659,1.40992,1
32.5,1019.3,557,400,2,0.0879494,0.0490482,0.0389011,0.107752,0.948624,0.00168311,0.351386,1
