BURNUP,TF,TM,BOR,GROUP,ABSORPTION,CAPTURE,FISSION,NU-FISSION,TRANSPORT,OUT-SCATTER,DIFF(1/3TR)
45.0,1242.0,557.0,400.0,2,0.0876219,0.0516908,0.0359311,0.101694,0.951584,0.00176723,0.350293
47.5,1242.0,557.0,400.0,1,0.0119561,0.0105108,0.00144531,0.00406582,0.236457,0.016374,1.4097
47.5,1242.0,557.0,400.0,2,0.0874948,0.0520383,0.0354565,0.100632,0.951738,0.00176113,0.350236
50.0,1242.0,557.0,400.0,1,0.0120368,0.010606,0.00143087,0.00403331,0.236333,0.0163418,1.41044
50.0,1242.0,557.0,400.0,2,0.0874103,0.0523686,0.0350416,0.0997052,0.951857,0.00175604,0.350193
52.5,1242.0,557.0,400.0,1,0.0121144,0.0106961,0.00141828,0.0040051,0.236203,0.016309,1.41121
52.5,1242.0,557.0,400.0,2,0.0873675,0.0526843,0.0346833,0.0989087,0.951945,0.00175194,0.35016
55.0,1242.0,557.0,400.0,1,0.0121888,0.0107815,0.00140735,0.0039808,0.236069,0.0162756,1.41202
55.0,1242.0,557.0,400.0,2,0.0873648,0.0529871,0.0343777,0.0982355,0.952007,0.00174878,0.350137
57.5,1242.0,557.0,400.0,1,0.0122604,0.0108625,0.00139792,0.00396003,0.23593,0.0162417,1.41285
57.5,1242.0,557.0,400.0,2,0.0873995,0.0532788,0.0341207,0.0976774,0.952047,0.00174651,0.350123
60.0,1242.0,557.0,400.0,1,0.0123291,0.0109393,0.00138982,0.00394243,0.235787,0.0162074,1.41371
60.0,1242.0,557.0,400.0,2,0.0874686,0.0535606,0.033908,0.0972251,0.952066,0.00174504,0.350116
0.0,1242.0,557.0,600.0,1,0.0091181,0.00686476,0.00225334,0.00578518,0.237931,0.0175208,1.40097
0.0,1242.0,557.0,600.0,2,0.0755317,0.0301461,0.0453856,0.110591,0.917901,0.00163438,0.363147
0.1,1242.0,557.0,600.0,1,0.00915208,0.00689942,0.00225266,0.00578372,0.23823,0.0176402,1.39921
0.1,1242.0,557.0,600.0,2,0.0777508,0.0327831,0.0449678,0.109631,0.917142,0.0016774,0.363448
0.5,1242.0,557.0,600.0,1,0.00916682,0.00692525,0.00224157,0.00576336,0.238235,0.0176524,1.39918
0.5,1242.0,557.0,600.0,2,0.0790609,0.0338321,0.0452288,0.110773,0.918557,0.00170187,0.362888
1.0,1242.0,557.0,600.0,1,0.0091924,0.00696486,0.00222754,0.0057376,0.238195,0.0176379,1.39941
1.0,1242.0,557.0,600.0,2,0.0803184,0.0346915,0.0456268,0.112372,0.920383,0.00172489,0.362168
2.0,1242.0,557.0,600.0,1,0.00927224,0.00707448,0.00219776,0.00568019,0.238132,0.0175883,1.39978
2.0,1242.0,557.0,600.0,2,0.082361,0.0361314,0.0462296,0.11496,0.923596,0.00176151,0.360908
3.0,1242.0,557.0,600.0,1,0.0093748,0.00720754,0.00216726,0.00561965,0.238091,0.0175271,1.40002
3.0,1242.0,557.0,600.0,2,0.0840737,0.0374217,0.046652,0.116978,0.926352,0.00179152,0.359834
4.0,1242.0,557.0,600.0,1,0.00948721,0.00734943,0.00213778,0.00556047,0.23806,0.0174609,1.40021
4.0,1242.0,557.0,600.0,2,0.0854994,0.0385708,0.0469286,0.118533,0.928738,0.0018159,0.35891
5.0,1242.0,557.0,600.0,1,0.00960158,0.00749229,0.0021093,0.00550285,0.238033,0.0173947,1.40037
5.0,1242.0,557.0,600.0,2,0.0866986,0.0396062,0.0470924,0.119727,0.930827,0.00183589,0.358105
6.0,1242.0,557.0,600.0,1,0.00971387,0.00763207,0.00208179,0.00544692,0.238008,0.0173309,1.40051
6.0,1242.0,557.0,600.0,2,0.0877147,0.0405479,0.0471668,0.120631,0.932669,0.00185238,0.357397
7.0,1242.0,557.0,600.0,1,0.00982198,0.00776677,0.00205522,0.00539259,0.237983,0.0172708,1.40066
7.0,1242.0,557.0,600.0,2,0.0885795,0.0414107,0.0471689,0.121298,0.934307,0.00186599,0.356771
8.0,1242.0,557.0,600.0,1,0.00992498,0.0078954,0.00202958,0.00533999,0.237958,0.0172148,1.40081
8.0,1242.0,557.0,600.0,2,0.0893168,0.0422055,0.0471114,0.121767,0.935772,0.00187721,0.356212
9.0,1242.0,557.0,600.0,1,0.0100225,0.00801782,0.0020047,0.00528863,0.237932,0.0171631,1.40096
9.0,1242.0,557.0,600.0,2,0.0899454,0.0429412,0.0470042,0.122067,0.937088,0.00188641,0.355712
10.0,1242.0,557.0,600.0,1,0.010115,0.00813427,0.00198069,0.0052389,0.237905,0.0171153,1.40112
10.0,1242.0,557.0,600.0,2,0.0904803,0.043625,0.0468554,0.122224,0.938277,0.00189386,0.355261
11.0,1242.0,557.0,600.0,1,0.0102027,0.00824521,0.00195752,0.00519077,0.237878,0.0170711,1.40128
11.0,1242.0,557.0,600.0,2,0.0909339,0.0442626,0.0466712,0.122258,0.939354,0.0018998,0.354854
12.5,1242.0,557.0,600.0,1,0.0103256,0.00840127,0.0019243,0.00512158,0.237836,0.0170112,1.40152
12.5,1242.0,557.0,600.0,2,0.0914738,0.0451373,0.0463365,0.1221,0.940779,0.00190615,0.354316
